date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:46	26991/26991	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:48:57%20GMT	https://oramyun.com/view.do?pgMode=&pageIndex=1&nowUrl=%2Fview.do%3Fno%3D42&no=42&idx=100&view=view&	C:/My%20Web%20Sites/ITnoodle/oramyun.com/viewab3a.html	(from https://oramyun.com/)
12:49:46	104670/104670	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:48:58%20GMT	https://oramyun.com/view.do?no=23	C:/My%20Web%20Sites/ITnoodle/oramyun.com/view1d70.html	(from https://oramyun.com/)
12:49:47	41701/41701	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:48:58%20GMT	https://oramyun.com/view.do?no=40	C:/My%20Web%20Sites/ITnoodle/oramyun.com/view7050.html	(from https://oramyun.com/)
12:49:47	26999/26999	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:48:58%20GMT	https://oramyun.com/view.do?no=41	C:/My%20Web%20Sites/ITnoodle/oramyun.com/view9ab4.html	(from https://oramyun.com/)
12:49:47	30351/30351	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:48:59%20GMT	https://oramyun.com/view.do?no=42	C:/My%20Web%20Sites/ITnoodle/oramyun.com/view0420.html	(from https://oramyun.com/)
12:49:48	130800/130800	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:48:59%20GMT	https://oramyun.com/view.do?no=72	C:/My%20Web%20Sites/ITnoodle/oramyun.com/view14b1.html	(from https://oramyun.com/)
12:49:48	31133/31133	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:48:59%20GMT	https://oramyun.com/view.do?no=63	C:/My%20Web%20Sites/ITnoodle/oramyun.com/viewec98.html	(from https://oramyun.com/)
12:49:48	29392/29392	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:49:00%20GMT	https://oramyun.com/view.do?no=43	C:/My%20Web%20Sites/ITnoodle/oramyun.com/view6944.html	(from https://oramyun.com/)
12:49:49	102520/102520	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:49:00%20GMT	https://oramyun.com/view.do?no=48	C:/My%20Web%20Sites/ITnoodle/oramyun.com/view85f9.html	(from https://oramyun.com/)
12:49:50	26197/26197	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:49:00%20GMT	https://oramyun.com/view.do?no=50	C:/My%20Web%20Sites/ITnoodle/oramyun.com/view7ae0.html	(from https://oramyun.com/)
12:49:53	39680/39680	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2006%20Dec%202021%2002:00:11%20GMT	http://t1.daumcdn.net/adfit/static/kp.js	C:/My%20Web%20Sites/ITnoodle/t1.daumcdn.net/adfit/static/kp.js	(from https://oramyun.com/)
12:49:53	25830/25830	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Nov%202021%2009:07:07%20GMT	https://oramyun.com/portal/img/main/renew/img_sec01_character.png	C:/My%20Web%20Sites/ITnoodle/oramyun.com/portal/img/main/renew/img_sec01_character.png	(from https://oramyun.com/)
12:49:53	77130/77130	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Dec%202021%2003:49:02%20GMT	https://oramyun.com/main.do?pgMode=show_pkg	C:/My%20Web%20Sites/ITnoodle/oramyun.com/main75e1.html	(from https://oramyun.com/)
12:49:53	186178/186178	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Dec%202021%2001:31:13%20GMT	https://oramyun.com/data/SITE000001/ORMN_REVIEW/sample_ORMN_REVIEW_202111201251195072.jpg	C:/My%20Web%20Sites/ITnoodle/oramyun.com/data/SITE000001/ORMN_REVIEW/sample_ORMN_REVIEW_202111201251195072.jpg	(from https://oramyun.com/)
